"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Получение списка заказов возвращает список","8036","test_get_orders_list_returns_list_of_orders","tests","2025-11-17","passed","2025-11-17","TestOrderList","test_order_list","",""
"Создание курьера с валидными данными","1396","test_successful_courier_creation","tests","2025-11-17","passed","2025-11-17","TestCourierCreation","test_courier_creation","",""
"Создание заказа с пустыми полями - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","423","test_create_order_with_empty_required_fields","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание курьера без логина возвращает ошибку","333","test_creation_without_login","tests","2025-11-17","passed","2025-11-17","TestCourierCreation","test_courier_creation","",""
"Логин с неверным логином - 404","345","test_login_with_wrong_login","tests","2025-11-17","passed","2025-11-17","TestCourierLogin","test_courier_login","",""
"Создание заказа без адреса - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","346","test_create_order_without_address","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание заказа с неверным форматом телефона - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","337","test_create_order_with_invalid_phone_format","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание заказа с обоими цветами","362","test_create_order_with_both_colors","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Логин без логина возвращает ошибку 400","366","test_login_without_login","tests","2025-11-17","passed","2025-11-17","TestCourierLogin","test_courier_login","",""
"Создание заказа без времени аренды - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","358","test_create_order_without_rent_time","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Логин с неверным паролем - 404","362","test_login_with_wrong_password","tests","2025-11-17","passed","2025-11-17","TestCourierLogin","test_courier_login","",""
"Создание заказа без имени - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","324","test_create_order_without_first_name","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание заказа без станции метро - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","340","test_create_order_without_metro_station","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание курьера без имени - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","1155","test_creation_without_first_name","tests","2025-11-17","passed","2025-11-17","TestCourierCreation","test_courier_creation","",""
"Успешный логин курьера возвращает ID","395","test_successful_login","tests","2025-11-17","passed","2025-11-17","TestCourierLogin","test_courier_login","",""
"Создание заказа без фамилии - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","343","test_create_order_without_last_name","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Логин без пароля - временно отключен из-за проблем с сервером","0","test_login_without_password","tests","2025-11-17","skipped","2025-11-17","TestCourierLogin","test_courier_login","",""
"Создание заказа с черным цветом","340","test_create_order_with_black_color","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание курьера без пароля возвращает ошибку","291","test_creation_without_password","tests","2025-11-17","passed","2025-11-17","TestCourierCreation","test_courier_creation","",""
"Создание заказа без указания цвета","346","test_create_order_without_color","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание курьера с пустым паролем - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","684","test_creation_with_empty_password","tests","2025-11-17","passed","2025-11-17","TestCourierCreation","test_courier_creation","",""
"Создание заказа с серым цветом","343","test_create_order_with_grey_color","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание курьера с пустым логином - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","715","test_creation_with_empty_login","tests","2025-11-17","passed","2025-11-17","TestCourierCreation","test_courier_creation","",""
"Создание заказа с неверной датой доставки","340","test_create_order_with_invalid_delivery_date","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Нельзя создать двух одинаковых курьеров","2777","test_duplicate_courier_creation","tests","2025-11-17","passed","2025-11-17","TestCourierCreation","test_courier_creation","",""
"Создание заказа без даты доставки - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","415","test_create_order_without_delivery_date","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
"Создание заказа без телефона - РЕАЛЬНОЕ ПОВЕДЕНИЕ: допускается","582","test_create_order_without_phone","tests","2025-11-17","passed","2025-11-17","TestOrderCreation","test_order_creation","",""
